Category,States,Number of trains
Out Going Trains from States,Gujarat,1033
Out Going Trains from States,Maharashtra,817
Out Going Trains from States,Punjab,429
Out Going Trains from States,Bihar,294
Out Going Trains from States,Uttar Pradesh,376
Out Going Trains from States,Delhi,259
Out Going Trains from States,Tamil Nadu,292
Out Going Trains from States,Karnatka,295
Out Going Trains from States,Telangana,166
Out Going Trains from States,Rajasthan,131
Out Going Trains from States,Kerala,190
Out Going Trains from States,Haryana,101
Out Going Trains from States,Andhra Pradesh,69
Out Going Trains from States,Other States,169
Out Going Trains from States,Total,4621
Incoming Trains to States,Uttar Pradesh,1726
Incoming Trains to States,Bihar,1627
Incoming Trains to States,Jharkhand,222
Incoming Trains to States,Odisha,244
Incoming Trains to States,West Bengal,284
Incoming Trains to States,Madhya Pradesh,129
Incoming Trains to States,Chhattisgarh,95
Incoming Trains to States,Assam,103
Incoming Trains to States,Rajasthan,55
Incoming Trains to States,Manipur,22
Incoming Trains to States,Other States,114
Incoming Trains to States,Total,4621
